,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,1000.0,673.3,534.2,453.3,377.9,377.9,316.6,316.6,261.3,261.3,261.3,261.3,217.3,217.3,217.3,217.3,178.4,178.4,178.4,178.4,178.4,178.4,178.4,178.4,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,965.9,650.3,516.0,437.8,365.1,365.1,305.8,305.8,252.4,252.4,252.4,252.4,209.9,209.9,209.9,209.9,172.3,172.3,172.3,172.3,172.3,172.3,172.3,172.3,142.8,142.8,142.8,142.8,142.8,142.8,142.8,142.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6
2,933.0,628.2,498.4,422.9,352.6,352.6,295.4,295.4,243.8,243.8,243.8,243.8,202.8,202.8,202.8,202.8,166.4,166.4,166.4,166.4,166.4,166.4,166.4,166.4,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,112.8,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3
3,901.3,606.8,481.4,408.5,340.6,340.6,285.4,285.4,235.5,235.5,235.5,235.5,195.9,195.9,195.9,195.9,160.7,160.7,160.7,160.7,160.7,160.7,160.7,160.7,133.2,133.2,133.2,133.2,133.2,133.2,133.2,133.2,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1
4,870.6,586.1,465.0,394.6,329.0,329.0,275.6,275.6,227.5,227.5,227.5,227.5,189.2,189.2,189.2,189.2,155.3,155.3,155.3,155.3,155.3,155.3,155.3,155.3,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1
5,840.9,566.1,449.2,381.2,317.8,317.8,266.3,266.3,219.7,219.7,219.7,219.7,182.8,182.8,182.8,182.8,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1
6,812.3,546.9,433.9,368.2,307.0,307.0,257.2,257.2,212.2,212.2,212.2,212.2,176.5,176.5,176.5,176.5,144.9,144.9,144.9,144.9,144.9,144.9,144.9,144.9,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2
7,784.6,528.2,419.1,355.6,296.5,296.5,248.4,248.4,205.0,205.0,205.0,205.0,170.5,170.5,170.5,170.5,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5
8,757.9,510.2,404.8,343.5,286.4,286.4,240.0,240.0,198.0,198.0,198.0,198.0,164.7,164.7,164.7,164.7,135.2,135.2,135.2,135.2,135.2,135.2,135.2,135.2,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8
9,732.0,492.9,391.0,331.8,276.7,276.7,231.8,231.8,191.3,191.3,191.3,191.3,159.1,159.1,159.1,159.1,130.6,130.6,130.6,130.6,130.6,130.6,130.6,130.6,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
10,707.1,476.1,377.7,320.5,267.2,267.2,223.9,223.9,184.8,184.8,184.8,184.8,153.7,153.7,153.7,153.7,126.1,126.1,126.1,126.1,126.1,126.1,126.1,126.1,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7
